V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.STATE_ABBR,V_TRI_FORM_R_EZ.ZIP_CODE,V_TRI_FORM_R_EZ.REGION,V_TRI_FORM_R_EZ.ASGN_PUBLIC_CONTACT_EMAIL,V_TRI_FORM_R_EZ.DOC_CTRL_NUM,V_TRI_FORM_R_EZ.CAS_REGISTRY_NUMBER,V_TRI_FORM_R_EZ.REPORTING_YEAR,V_TRI_FORM_R_EZ.MAX_AMOUNT_OF_CHEM,Code Expansion for Maximum Amount Of Chemical,V_TRI_FORM_R_EZ.CAS_CHEM_NAME,V_TRI_FORM_R_EZ.CARC_IND,V_TRI_FORM_R_EZ.PFAS_IND,V_TRI_FORM_R_EZ.METAL_IND,V_TRI_FORM_R_EZ.PRODUCE,V_TRI_FORM_R_EZ.IMPORTED,V_TRI_FORM_R_EZ.SALE_DISTRIBUTION,V_TRI_FORM_R_EZ.BYPRODUCT,V_TRI_FORM_R_EZ.PROCESS_IMPURITY,V_TRI_FORM_R_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_IND,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_ACT_1,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_1,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_ACT_2,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_2,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_ACT_3,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_3,V_TRI_FORM_R_EZ.INDUSTRY_CODE,V_TRI_FORM_R_EZ.INDUSTRY_DESCRIPTION
"76504CNTRF3320P","CENTRIFUGAL CASTINGS","TEMPLE","TX","76504","6","SKRUPPA@CENTRIFUGAL.NET","1316214985246","N100","2016","04","10000  to  99999","Copper compounds","0","N","Y","0","0","0","0","0","12","0","0","","W58","R4","","","","","331","Primary Metals"
"92111RGRSC7447C","TTM TECHNOLOGIES N.A. LLC","SAN DIEGO","CA","92111","9","Ben.Nelson@ttmtech.com","1322221031329","N420","2022","02","100  to  999","Lead compounds","0","N","Y","0","0","0","0","0","0","0","0","","S41","R6","","","","","334","Computers and Electronic Products"
"7785WMRSRC8127A","EM RESOURCES - OAK GROVE HARVESTING","FRANKLIN","TX","77856","6","MANNY.MUNOZ@ECOMATERIAL.COM","1324222684336","N458","2024","01","0  to  99","Mercury compounds","0","N","Y","0","0","0","0","1",".000455","0","0","","S03","R2","","","","","327","Nonmetallic Mineral Product"
"3606WFRSLN13ECH","FRAS-LE NA INC","PRATTVILLE","AL","36067","4","GARY.BEHRENS@FRAS-LE.COM","1316215101561","108-95-2","2016","03","1000  to  9999","Phenol","0","N","N","0","0","0","0","0","2036","0","0","","W42","R2","","","","","336","Transportation Equipment"
"49518WSTNG43003","KNOLL INC","GRAND RAPIDS","MI","49512","5","LAUREN_MILLER@KNOLL.COM","1316215499524","7439-92-1","2016","01","0  to  99","Lead","1","N","Y","0","0","0","0","1","0","0","0","","W13","R6","","","","","337","Furniture"
"53538LCTRN1100N","ELECTRONIC TECHNOLOGIES INTERNATIONAL INC","FORT ATKINSON","WI","53538","5","JMORTENSEN@ETIMFG.COM","1317215894306","N420","2017","02","100  to  999","Lead compounds","0","N","Y","0","0","0","0","0",".06","0","0","","W42","R3","","","","","334","Computers and Electronic Products"
"6206WSTLSS2ACCE","ST LOUIS SCREW & BOLT","MADISON","IL","62060","5","SLBAUER@STLOUISSCREWBOLT.COM","1324222901771","7439-92-1","2024","03","1000  to  9999","Lead","1","N","Y","0","0","0","0","0","0","0","0","","S21","R6","","","","","332","Fabricated Metals"
"66801MBLTR1601E","CAMSO MANUFACTURING USA LTD. (EMPORIA DIVISION)","EMPORIA","KS","66801","7","NATHAN.SWARDSON@MICHELIN.COM","1315213593433","N982","2015","04","10000  to  99999","Zinc compounds","0","N","Y","0","0","0","0","0","28","0","0","","W58","R5","W51","","","","326","Plastics and Rubber"
"4104WRNNNG85PRD","RONAN ENGINEERING CO","FLORENCE","KY","41042","4","DYUNGKAU@RONANMEASURE.COM","1324222449201","N420","2024","04","10000  to  99999","Lead compounds","0","N","Y","0","0","0","0","0","0","0","0","","S06","R1","","","","","334","Computers and Electronic Products"
"91749CMCCH18383","ECOLAB INC","CITY OF INDUSTRY","CA","91748","9","ROMAN.BLAHOSKI@ECOLAB.COM","1314212804660","79-21-0","2014","04","10000  to  99999","Peracetic acid","0","N","N","1","0","0","0","0","85","0","0","","W13","R6","W52","R6","W19","R6","325","Chemicals"
"44420LTRNC712TR","ALTRONIC LLC","GIRARD","OH","44420","5","DAVID.LEPLEY@HOERBIGER.COM","1320218649984","7439-92-1","2020","03","1000  to  9999","Lead","1","N","Y","0","0","0","0","0","0","0","0","","W52","R4","","","","","334","Computers and Electronic Products"
"36193RHMMN2600E","RHEEM MANUFACTURING WATER HEATER DIV","MONTGOMERY","AL","36109","4","PHILLIP.PURNELL@RHEEM.COM","1318216954420","7440-50-8","2018","06","1000000  to  9999999","Copper","0","N","Y","0","0","0","0","1","4.47","17.05","0","","W13","R6","","","","","335","Electrical Equipment"
"70776CBGGYRIVER","SYNGENTA CROP PROTECTION LLC SAINT GABRIEL FACILITY","SAINT GABRIEL","LA","70776","6","DONNA.DENNIS@SYNGENTA.COM","1323222157404","872-50-4","2023","05","100000  to  999999","N-Methyl-2-pyrrolidone","0","N","N","0","0","0","0","0","0","0","0","","S33","R6","S41","R6","S24","R6","325","Chemicals"
"97113SHLDN300N2","SHELDON MANUFACTURING INC.","CORNELIUS","OR","97113","10","PAULJ@SHELDONMFG.COM","1320218669051","7440-47-3","2020","03","1000  to  9999","Chromium","0","N","Y","0","0","0","0","0","0","0","0","","W58","R6","","","","","332","Fabricated Metals"
"75041NNCRB2326L","ONA POLYMERS LLC","GARLAND","TX","75041","6","MGLASSCOCK@ONAPOLYMERS.COM","1315214105013","100-42-5","2015","04","10000  to  99999","Styrene","1","N","N","0","0","0","0","0","500","0","0","","W19","R6","","","","","325","Chemicals"
"40403TKCSN301MA","HITACHI ASTEMO AMERICAS INC. - BEREA KY","BEREA","KY","40403","4","HEATHER.ABBOTT.SD@HITACHIASTEMO.COM","1318217365889","N230","2018","03","1000  to  9999","Certain glycol ethers","0","N","N","0","0","0","0","0","9613.25","0","0","","W56","R2","","","","","336","Transportation Equipment"
"71107GSRFN620AE","CERTAINTEED CORP","SHREVEPORT","LA","71107","6","SHANNAN.K.MCKINNON@SAINT-GOBAIN.COM","1319218431916","191-24-2","2019","02","100  to  999","Benzo[g,h,i]perylene","0","N","N","0","0","0","0","1",".0018","0","0","","W13","R6","","","","","324","Petroleum"
"57262WDLND2415E","WOODLAND CABINETRY INC","SISSETON","SD","57262","8","MIKET@WOODLANDCABINETRY.COM","1323221976626","71-36-3","2023","04","10000  to  99999","n-Butyl alcohol","0","N","N","0","0","0","0","0","1868","0","0","","S44","R2","","","","","337","Furniture"
"91006NMLDB36LAP","DANCO ANODIZING (DBA DANCO METAL SURFACING)","ARCADIA","CA","91006","9","MAX.C@DANCO.NET","1319217825215","N511","2019","04","10000  to  99999","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","0","N","N","1","0","0","1","0","0","0","0","","W65","R6","","","","","332","Fabricated Metals"
"92704PWRCR2645S","TTM TECHNOLOGIES N.A. LLC","SANTA ANA","CA","92704","9","BEN.NELSON@TTMTECH.COM","1322220966408","50-00-0","2022","03","1000  to  9999","Formaldehyde","1","N","N","0","0","0","0","0","313","0","0","","S31","R5","","","","","334","Computers and Electronic Products"
"43612PRSTR600MA","PERSTORP POLYOLS INC","TOLEDO","OH","43612","5","MATTHEW.SEISER@PERSTORP.COM","1314212611394","50-00-0","2014","06","1000000  to  9999999","Formaldehyde","1","N","N","1","0","1","0","0","6100","0","0","","W32","R5","","","","","325","Chemicals"
"55449PLSTD3920P","PLASTI DIP INTERNATIONAL","BLAINE","MN","55449","5","GARY.WILKIN@PLASTIDIP.COM","1320219126947","108-88-3","2020","04","10000  to  99999","Toluene","0","N","N","0","0","0","0","0","2890","0","0","","W58","R6","W42","R1","W82","R5","325","Chemicals"
"27804LCNCN400JE","KABA ILCO CORP","ROCKY MOUNT","NC","27801","4","RAMI.SAIDEH@DORMAKABA.COM","1322221112333","7440-66-6","2022","03","1000  to  9999","Zinc (fume or dust)","0","N","N","0","0","0","0","0","0","0","0","","S21","R5","","","","","332","Fabricated Metals"
"60609CDPRD6W41S","ACID PRODUCTS CO INC","CHICAGO","IL","60609","5","DAWN.BROWNLEE@ACIDPRODUCTS.NET","1323222239206","N535","2023","04","10000  to  99999","Nonylphenol Ethoxylates","0","N","N","1","0","0","0","0",".01","0","0","","S21","R6","","","","","4246","Chemical Wholesalers"
"77541FRPRT2398V","AIR LIQUIDE FREEPORT HYCO PLANT","FREEPORT","TX","77541","6","JODY.PHILLIPS@AIRLIQUIDE.COM","1320218804173","7664-41-7","2020","04","10000  to  99999","Ammonia","0","N","N","0","0","0","0","0","1200.14","0","0","","W19","R2","","","","","325","Chemicals"
"52776LSRCH207WE","WEST LIBERTY FOODS L.L.C.","WEST LIBERTY","IA","52776","7","MICHELE.BONEY@WLFOODS.COM","1324223118631","7664-41-7","2024","04","10000  to  99999","Ammonia","0","N","N","0","0","0","0","0","6966","0","0","","S25","R6","","","","","311","Food"
"98134LSKNC32006","ALASKAN COPPER WORKS","SEATTLE","WA","98134","10","CARLV@ALASKANCOPPER.COM","1316215694807","N100","2016","04","10000  to  99999","Copper compounds","0","N","Y","0","0","0","0","0","255","0","0","","W19","R6","W29","R6","W39","R6","332","Fabricated Metals"
"28208TRNSR4500M","TRANE US INC.","CHARLOTTE","NC","28208","4","CARRIE.NGUYEN@TRANE.COM","1320219099239","7440-50-8","2020","05","100000  to  999999","Copper","0","N","Y","0","0","0","0","0","15.7","7.4","0","","W19","R6","","","","","333","Machinery"
"16749QKRSTINTER","INTERNATIONAL WAXES INC","SMETHPORT","PA","16749","3","DGOLDSMITH@IGIWAX.COM","1317216135564","7664-41-7","2017","04","10000  to  99999","Ammonia","0","N","N","1","0","0","1","0","3193","46","0","","W52","R6","","","","","324","Petroleum"
"5536WPSHRS671EV","UPSHER-SMITH LABORATORIES LLC","MAPLE GROVE","MN","55369","5","MEGAN.GUSTAFSON@UPSHER-SMITH.COM","1323222135170","67-56-1","2023","04","10000  to  99999","Methanol","0","N","N","0","0","0","0","0","2315","0","0","","S21","R6","","","","","325","Chemicals"
"40391LLTCH65RLL","ALLTECH INC","WINCHESTER","KY","40391","4","JVALENTI@ALLTECH.COM","1316215045396","7697-37-2","2016","03","1000  to  9999","Nitric acid","0","N","N","0","0","0","0","0","0","0","0","","W89","R2","","","","","311","Food"
"01028SDDKR82DEE","ARCLIN SURFACES - EAST LONGMEADOW CO.","EAST LONGMEADOW","MA","01028","1","MICHAEL.LABORDE@ARCLIN.COM","1315214343980","N511","2015","04","10000  to  99999","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","0","N","N","0","0","0","0","0","0","0","0","","W81","R5","","","","","322","Paper"
"71901CHMFB1923C","RADIUS AEROSPACE INC. DBA RADIUS AEROSPACE-HOT SPRINGS","HOT SPRINGS","AR","71901","6","RATRACY@RADIUSAEROSPACE.COM","1322220693295","108-88-3","2022","03","1000  to  9999","Toluene","0","N","N","0","0","0","0","0","755","0","0","","S06","R3","","","","","336","Transportation Equipment"
"77590MCLCM24015","BP AMOCO CHEMICAL COMPANY","TEXAS CITY","TX","77590","6","JENNIFER.NESBITT@INEOS.COM","1318216834705","95-47-6","2018","06","1000000  to  9999999","o-Xylene","0","N","N","1","0","1","0","0","10500","0","0","","W64","R2","","","","","325","Chemicals"
"3575WTYNKM229PA","TYONEK MANUFACTURING GROUP","MADISON","AL","35758","4","TWHITE@TYONEK.COM","1322220988048","N420","2022","02","100  to  999","Lead compounds","0","N","Y","0","0","0","0","0",".25","0","0","","S25","R1","","","","","332","Fabricated Metals"
"46514MRRYD1536G","MOR/RYDE INTERNATIONAL INC","ELKHART","IN","46514","5","SAMMYSIRHAN60@GMAIL.COM","1319218289332","N495","2019","06","1000000  to  9999999","Nickel compounds","1","N","Y","0","0","0","0","0","0","0","0","","W61","R3","","","","","332","Fabricated Metals"
"40475XDCRP876RI","ENERSYS DELAWARE INC.","RICHMOND","KY","40475","4","TROY.BAXTER@ENERSYS.COM","1323222343372","N010","2023","05","100000  to  999999","Antimony compounds","0","N","Y","1","0","0","0","1","3.59",".71","0","","S23","R6","","","","","335","Electrical Equipment"
"54868FGPRD3000P","F/G PRODUCTS INC","RICE LAKE","WI","54868","5","CNELSON@FGPRODUCTS.COM","1318217164209","100-42-5","2018","04","10000  to  99999","Styrene","1","N","N","0","0","0","0","0","12302.47","0","0","","W58","R6","","","","","326","Plastics and Rubber"
"28273HRPRC11625","HARPER CORP OF AMERICA","CHARLOTTE","NC","28273","4","MARK.WILLINGHAM@HARPERCORPORATION.COM","1321219867013","N090","2021","04","10000  to  99999","Chromium compounds (except for chromite ore mined in the Transvaal Region)","0","N","Y","0","0","0","0","0","5","5","0","","S03","R6","","","","","333","Machinery"
"43160YSCRP151JA","YUSA CORP","WASHINGTON COURT HOUSE","OH","43160","5","SSOHNLY@YUSA-OH.COM","1314213126067","100-41-4","2014","04","10000  to  99999","Ethylbenzene","1","N","N","0","0","0","0","0","477","0","0","","W13","R6","","","","","336","Transportation Equipment"
"11704MRCNC400SH","AMERICAN ACRYLIC CORP","WEST BABYLON","NY","11704","2","LUMASITE@AOL.COM","1322220776595","100-42-5","2022","02","100  to  999","Styrene","1","N","N","0","0","0","0","0","38","0","0","","S44","R6","","","","","326","Plastics and Rubber"
"55440HNYWL2600R","HONEYWELL AEROSPACE - MINNEAPOLIS","MINNEAPOLIS","MN","55413","5","ADAM.KRESS@HONEYWELL.COM","1323222271886","7439-92-1","2023","02","100  to  999","Lead","1","N","Y","0","0","0","0","0","0","0","0","","S21","R6","","","","","334","Computers and Electronic Products"
"16601MRWYN3701B","AMERWAY INC","ALTOONA","PA","16601","3","TBUCK@AMERWAY.COM","1323222084915","7439-92-1","2023","05","100000  to  999999","Lead","1","N","Y","0","0","0","0","0","1.32","0","0","","S03","R6","","","","","331","Primary Metals"
"47635KSTLC6500N","CLEVELAND-CLIFFS STEEL CORP (ROCKPORT WORKS )","ROCKPORT","IN","47635","5","SIMONNE.BENOIT@CLEVELANDCLIFFS.COM","1322221228632","N511","2022","03","1000  to  9999","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","0","N","N","0","0","0","0","1","0","12191515","0","","S03","R2","","","","","331","Primary Metals"
"47834GRTDNUSHIG","GREAT DANE TRAILERS","BRAZIL","IN","47834","5","SKNOVAK@GREATDANE.COM","1315214181671","N120","2015","05","100000  to  999999","Diisocyanates","0","N","N","0","0","0","0","0","135","0","0","","W42","R3","","","","","336","Transportation Equipment"
"60007RCTRN1150P","ARC-TRONICS INC","ELK GROVE VILLAGE","IL","60007","5","MATTHEWG@ARC-TRONICS.COM","1319218480717","7439-92-1","2019","03","1000  to  9999","Lead","1","N","Y","0","0","0","0","0","2","0","0","","W81","R6","","","","","334","Computers and Electronic Products"
"12138TCNCPCOONB","TONOGA INC DBA TACONIC","PETERSBURGH","NY","12138","2","TIMK@4TACONIC.COM","1315213223439","100-41-4","2015","03","1000  to  9999","Ethylbenzene","1","N","N","0","0","0","0","0","258.6","0","0","","W13","R6","","","","","313","Textiles"
"9176WLGHTN85EFR","LIGHTING RESOURCES LLC","ONTARIO","CA","91761","9","JOSE.ASCENCIO@LIGHTINGRESOURCESINC.COM","1324222527208","N458","2024","03","1000  to  9999","Mercury compounds","0","N","Y","0","0","0","0","0","0","0","0","","S25","R5","","","","","562","Hazardous Waste"
"29732CLSTM32BRY","ACE ELASTOMER","ROCK HILL","SC","29732","4","JENNINGS@ACEELASTOMER.COM","1315214191405","N982","2015","03","1000  to  9999","Zinc compounds","0","N","Y","0","0","0","0","0","0","0","0","","W49","R5","","","","","326","Plastics and Rubber"
"53092THRMS10605","JBT CORP","MEQUON","WI","53092","5","MMCGOURTHY@JBT-CORP.COM","1316214986768","108-88-3","2016","03","1000  to  9999","Toluene","0","N","N","0","0","0","0","0","12017","0","0","","W52","R2","","","","","327","Nonmetallic Mineral Product"
"94553SHLLM10MOC","SHELL CHEMICAL LP - MARTINEZ CATALYST PLANT","MARTINEZ","CA","94553","9","DANIEL.MATHESON@SHELL.COM","1320219026438","N740","2020","05","100000  to  999999","Silver compounds","0","N","Y","0","0","0","0","0","9843","0","0","","W13","R6","","","","","325","Chemicals"
"5605WTBLKC52182","TBEI - TRUCK BODIES & EQUIPMENT INTERNATIONAL (LAKE CRYSTAL)","LAKE CRYSTAL","MN","56055","5","BMSCHMITT@TBEI.COM","1316214979332","7440-47-3","2016","04","10000  to  99999","Chromium","0","N","Y","0","0","0","0","0","46.22","0","0","","W58","R2","","","","","336","Transportation Equipment"
"53913PRRYP1300S","LSC COMMUNICATIONS / BARABOO","BARABOO","WI","53913","5","RANDY.GORDON@LSCCOM.COM","1314211936125","107-21-1","2014","04","10000  to  99999","Ethylene glycol","0","N","N","0","0","0","0","0","5694","0","0","","W73","R6","","","","","323","Printing"
"06002SCHRR40EAS","ITW SHINEMARK","BLOOMFIELD","CT","06002","1","PAVEL.MINDZAK@ITWSHINEMARK.COM","1318217195534","108-88-3","2018","04","10000  to  99999","Toluene","0","N","N","0","0","0","0","0","2532","0","0","","W56","R3","","","","","322","Paper"
"06492CYRNDSOUTH","ROEHM AMERICA LLC","WALLINGFORD","CT","06492","1","DOUGLAS.BELFIORE@ROEHM.COM","1314212390470","100-42-5","2014","05","100000  to  999999","Styrene","1","N","N","0","0","0","0","0","666","0","0","","W19","R5","W32","R6","","","325","Chemicals"
"92667BBCCK1717W","KERR DENTAL MATERIALS CENTER","ORANGE","CA","92867","9","JOSH.WHITESELL@ENVISTACO.COM","1315214324713","67-56-1","2015","03","1000  to  9999","Methanol","0","N","N","0","0","0","0","0","3400.17","0","0","","W56","R3","W19","R6","","","339","Miscellaneous Manufacturing"
"4834WWDWRT5CENT","WOODWORTH INC PONTIAC","PONTIAC","MI","48341","5","ARICKMAN@WOODWORTH.COM","1322220700379","7664-41-7","2022","04","10000  to  99999","Ammonia","0","N","N","0","0","0","0","0","1491","0","0","","S42","R2","","","","","332","Fabricated Metals"
"08817KZCHMMEADO","EQUISTAR CHEMICALS LP","EDISON","NJ","08837","2","LINDA.BRENNAN@LYONDELLBASELL.COM","1323221913852","110-54-3","2023","05","100000  to  999999","n-Hexane","0","N","N","0","0","0","0","0","10778","0","0","","S25","R5","","","","","325","Chemicals"
"53051ZNTHSW156N","GKN SINTER METALS","MENOMONEE FALLS","WI","53051","5","MATTHEW.MARTIN@GKNPM.COM","1316215666049","7440-47-3","2016","03","1000  to  9999","Chromium","0","N","Y","0","0","0","0","0","2","0","0","","W14","R6","","","","","332","Fabricated Metals"
"39521BRGWRPORTB","SABIC INNOVATIVE PLASTICS US LLC","BAY SAINT LOUIS","MS","39520","4","JENNIFER.SCHUMANN@SABIC.COM","1314212792752","80-62-6","2014","05","100000  to  999999","Methyl methacrylate","0","N","N","0","0","0","0","0","290","0","0","","W19","R6","","","","","325","Chemicals"
"53095LVLVL807PL","SCHREIBER FOODS","WEST BEND","WI","53095","5","GEORGE.JEROME@SCHREIBERFOODS.COM","1320218616276","7697-37-2","2020","03","1000  to  9999","Nitric acid","0","N","N","0","0","0","0","0","0","0","0","","W29","R3","","","","","311","Food"
"94509WSTRN2200W","SILGAN CONTAINERS MFG CORP","ANTIOCH","CA","94509","9","CBENNETT@SILGANCONTAINERS.COM","1320218684645","95-63-6","2020","03","1000  to  9999","1,2,4-Trimethylbenzene","0","N","N","0","0","0","0","0","29","0","0","","W19","R6","","","","","332","Fabricated Metals"
"44202MCRMR1395D","SACO AEI POLYMERS INC.","AURORA","OH","44202","5","BKIEHL@SACOAEI.COM","1315213968795","N010","2015","04","10000  to  99999","Antimony compounds","0","N","Y","0","0","0","0","0","255","0","0","","W13","R5","W33","","W52","","325","Chemicals"
"7610WSPMFL761WY","SPM OIL & GAS INC - FORT WORTH MFG","FORT WORTH","TX","76108","6","AUBREY.CAMPBELL@SPMOILANDGAS.COM","1314212389706","7440-50-8","2014","04","10000  to  99999","Copper","0","N","Y","0","0","0","0","0","0","5","0","","W58","R3","","","","","333","Machinery"
"45502NVSTR6125U","INTERNATIONAL MOTORS LLC.","SPRINGFIELD","OH","45502","5","TIM.MCDANIEL@NAVISTAR.COM","1320218819631","N230","2020","03","1000  to  9999","Certain glycol ethers","0","N","N","0","0","0","0","0","13500","5","0","","W43","R2","","","","","336","Transportation Equipment"
"60185GRFFN1920D","ANCHOR BRAKE SHOE CO","WEST CHICAGO","IL","60185","5","ED.WHELAN@NYAB.COM","1314212665436","7440-47-3","2014","05","100000  to  999999","Chromium","0","N","Y","0","0","0","0","0","1","0","0","","W58","R4","","","","","336","Transportation Equipment"
"15412MRCNR2WHEE","PVS STEEL SERVICES INC","ALLENPORT","PA","15412","3","AROTH@PVSCHEMICALS.COM","1314212872737","7647-01-0","2014","06","1000000  to  9999999","Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)","0","N","N","1","0","0","1","0","2920","0","0","","W13","R6","","","","","325","Chemicals"
"35801CRFNT2122A","TINTRONICS INDUSTRIES","HUNTSVILLE","AL","35801","4","KEVIN.JOHNSON@TINTRONICS.COM","1321219468889","7439-92-1","2021","03","1000  to  9999","Lead","1","N","Y","0","0","0","0","0","0","0","0","","S21","R5","","","","","334","Computers and Electronic Products"
"29730BSFST800CE","INCHEM CORP","ROCK HILL","SC","29730","4","BHAMEL@INCHEMCORP.COM","1316215057973","1330-20-7","2016","04","10000  to  99999","Xylene (mixed isomers)","0","N","N","0","0","0","0","0",".24","0","0","","W14","R2","","","","","325","Chemicals"
"30318WHTKR1557M","THE WHITAKER CO","ATLANTA","GA","30318","4","GREG.SILVA@WHITAKEROIL.COM","1316215697828","108-10-1","2016","04","10000  to  99999","Methyl isobutyl ketone","1","N","N","0","0","0","0","0","27","0","1810","","W13","R6","","","","","4247","Petroleum Bulk Terminals"
"3765WFMPRD11SUT","FOAM PRODUCTS","ERWIN","TN","37650","4","TBYRD@FOAMPRODUCTS.COM","1314212937940","67-56-1","2014","04","10000  to  99999","Methanol","0","N","N","1","0","0","1","0","755","0","0","","W21","R5","W50","","","","326","Plastics and Rubber"
"55041HTNGL800JE","HEARTH & HOME TECHNOLOGIES INC LAKE CITY","LAKE CITY","MN","55041","5","COBBJ@HEARTNHOME.COM","1318217087004","1330-20-7","2018","04","10000  to  99999","Xylene (mixed isomers)","0","N","N","0","0","0","0","0","16690","0","0","","W72","R3","","","","","333","Machinery"
"40324LSVLL596TR","AICHI FORGE USA INC","GEORGETOWN","KY","40324","4","REJEANA_THOMPSON@AICHIFORGE.COM","1318216788606","7440-47-3","2018","01","0  to  99","Chromium","0","N","Y","0","0","0","0","0","0","0","0","","W19","R5","","","","","332","Fabricated Metals"
"03062TRDYN4PITT","AMPHENOL APC INC","NASHUA","NH","03062","1","KWHITCOMB@AMPHENOL-APCBT.COM","1323221611344","N511","2023","03","1000  to  9999","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","0","N","N","1","0","0","1","0","0","0","0","","S21","R6","","","","","334","Computers and Electronic Products"
"73505CHMCL5201S","AMERICAN PHOENIX INC","LAWTON","OK","73501","6","RDANIELS@APIMIX.NET","1315218623256","108-95-2","2015","04","10000  to  99999","Phenol","0","N","N","0","0","0","0","0",".4","0","0","","W15","R5","W49","R5","","","325","Chemicals"
"01260MDSPCWILLO","ONYX SPECIALTY PAPERS INC. - WILLOW MILL","SOUTH LEE","MA","01260","1","ABEGROWICZ@ONYXPAPERS.COM","1323221548504","50-00-0","2023","03","1000  to  9999","Formaldehyde","1","N","N","1","0","0","1","0","22602","1128","0","","S03","R6","","","","","322","Paper"
"53051RNDLLN82W1","ARANDELL CORP","MENOMONEE FALLS","WI","53051","5","JJMUEHLBAUER@ARANDELL.COM","1323222395396","95-63-6","2023","04","10000  to  99999","1,2,4-Trimethylbenzene","0","N","N","0","0","0","0","0","5521.69","0","0","","S02","R5","","","","","323","Printing"
"53051ZNTHSW156N","GKN SINTER METALS","MENOMONEE FALLS","WI","53051","5","MATTHEW.MARTIN@GKNPM.COM","1315213984267","7440-50-8","2015","03","1000  to  9999","Copper","0","N","Y","0","0","0","0","0","4","0","0","","W36","R6","","","","","332","Fabricated Metals"
"14048RLSTN3800M","NESTLE PURINA PETCARE CO","DUNKIRK","NY","14048","2","SCOTT.OVERHOFF@PURINA.NESTLE.COM","1317216097788","N982","2017","05","100000  to  999999","Zinc compounds","0","N","Y","0","0","0","0","0","10","0","0","","W50","R6","","","","","311","Food"
"81001SHLND250WI","FUJIFILM ELECTRONIC MATERIALS U.S. INC.","PUEBLO","CO","81001","8","KALISHA.SIMPSON@FUJIFILM.COM","1319218494577","7664-41-7","2019","04","10000  to  99999","Ammonia","0","N","N","1","0","1","0","0","1870.21","0","0","","W15","R4","","","","","325","Chemicals"
"56502SJLCT22650","S J ELECTRO SYSTEMS INC","DETROIT LAKES","MN","56501","5","DON.BLEYLE@SJEINC.COM","1321219776123","7439-92-1","2021","02","100  to  999","Lead","1","N","Y","0","0","0","0","0","2","0","0","","S23","R3","","","","","334","Computers and Electronic Products"
"52156SWSSVHWY18","PRAIRIE FARMS","LUANA","IA","52156","7","GMCSHANE@PRAIRIEFARMS.COM","1321219468636","7697-37-2","2021","04","10000  to  99999","Nitric acid","0","N","N","0","0","0","0","0","0","302035.8","0","","S21","R5","","","","","311","Food"
"37620BCHML501FI","UPM PHARMACEUTICALS INC","BRISTOL","TN","37620","4","MBARRETT@UPM-INC.COM","1319218334009","7440-22-4","2019","01","0  to  99","Silver","0","N","Y","0","0","0","0","0","0","0","0","","W58","R6","","","","","325","Chemicals"
"47670TYTMT4000T","TOYOTA MOTOR MANUFACTURING INDIANA INC","PRINCETON","IN","47670","5","PAUL.DELOR@TOYOTA.COM","1324223229485","7440-47-3","2024","04","10000  to  99999","Chromium","0","N","Y","0","0","0","0","0","249","0","0","","S21","R6","","","","","336","Transportation Equipment"
"5061WWLSRN71CHA","O'NEAL MANUFACTURING SERVICES DBA IOWA LASER","CEDAR FALLS","IA","50613","7","CWOOD@ONEALMFG.COM","1315214339222","7440-02-0","2015","05","100000  to  999999","Nickel","1","N","Y","0","0","0","0","0","0","0","0","","W13","R6","","","","","332","Fabricated Metals"
"77656STHHMFM418","TRECORA HYDROCARBONS LLC","SILSBEE","TX","77656","6","PATRICK.SAYLES@TRECORA.COM","1321220142196","110-82-7","2021","05","100000  to  999999","Cyclohexane","0","N","N","1","0","0","1","0","1382.041","0","0","","S34","R6","","","","","325","Chemicals"
"01801FRNCR324NE","FRAEN MACHINING CORP","WOBURN","MA","01801","1","T_RODGERS@FRAEN.COM","1314212887083","127-18-4","2014","03","1000  to  9999","Tetrachloroethylene","1","N","N","0","0","0","0","0","4671","0","0","","W13","R4","W19","R6","","","332","Fabricated Metals"
"34243DNZMR81611","CHRIS CRAFT","SARASOTA","FL","34243","4","AKOUBA@CHRISCRAFT.COM","1314212566463","100-42-5","2014","03","1000  to  9999","Styrene","1","N","N","0","0","0","0","0","44794","0","0","","W19","R6","","","","","336","Transportation Equipment"
